ID,Numer artykulu,Nazwa artykulu,Ilosc,Szerokosc,Wysokosc
1,3212200,PT 4-TWIN/1P,"6,2","66,4"
2,3212201,PT 4-TWIN/1P BU,"6,2","66,4"
3,3212202,PT 4-TWIN/1P PE,"6,2","66,4"
4,3061826,PT 6-QUATTRO/2P,"8,2","99,8"
5,3061839,PT 6-QUATTRO/2P BU,"8,2","99,8"
6,3211802,PT 4-QUATTRO BU,"6,2",77
7,3211809,PT 4-QUATTRO PE,"6,2",77
8,3211991,PT 4-QUATTRO/2P,"6,2","92,1"
9,3212000,PT 4-QUATTRO/2P-BU,"6,2","92,1"
10,3211999,PT 4-QUATTRO/2P-PE,"6,2","92,1"
11,3212200,PT 4-TWIN/1P,"6,2","66,4"
12,3212201,PT 4-TWIN/1P BU,"6,2","66,4"
13,3212202,PT 4-TWIN/1P PE,"6,2","66,4"
14,3061826,PT 6-QUATTRO/2P,"8,2","99,8"
15,3061839,PT 6-QUATTRO/2P BU,"8,2","99,8"
16,3211802,PT 4-QUATTRO BU,"6,2",77
17,3211809,PT 4-QUATTRO PE,"6,2",77
18,3211991,PT 4-QUATTRO/2P,"6,2","92,1"
19,3212000,PT 4-QUATTRO/2P-BU,"6,2","92,1"
20,3211999,PT 4-QUATTRO/2P-PE,"6,2","92,1"
21,3212200,PT 4-TWIN/1P,"6,2","66,4"
22,3212201,PT 4-TWIN/1P BU,"6,2","66,4"
23,3212202,PT 4-TWIN/1P PE,"6,2","66,4"
24,3061826,PT 6-QUATTRO/2P,"8,2","99,8"
25,3061839,PT 6-QUATTRO/2P BU,"8,2","99,8"
26,3211802,PT 4-QUATTRO BU,"6,2",77
27,3211809,PT 4-QUATTRO PE,"6,2",77
28,3211991,PT 4-QUATTRO/2P,"6,2","92,1"
29,3212000,PT 4-QUATTRO/2P-BU,"6,2","92,1"
30,3211999,PT 4-QUATTRO/2P-PE,"6,2","92,1"
